Scanning directory: C:\Users\VICTUS\Desktop\Sertaç

C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\SequenceDiagramBeePlan.png: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.1147s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\SertacAtacFinalDesign.zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0784s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\SertacAtac_202328007.zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.0772s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\USE CASE DIAGRAM.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1615s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\W1 Notes.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.2488s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\W2 Notes.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.2476s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\W3 Notes.pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1576s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Documents\BeePlan document.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.2464s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Documents\Program Files\classroomLab.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0679s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Documents\Program Files\commonCourseList.txt: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0657s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Documents\Program Files\coordinator.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0813s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Documents\Program Files\course.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0722s)
